                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.69402,                0.34175,                0.76932,                0.95738,                0.84005,                  0.902,                0.61306,                 1.0934,                0.51271,                0.80899,             5.4576e-05,             5.4576e-05,             5.4576e-05
                     36,                0.67902,                0.33815,                0.76964,                0.97536,                0.84509,                0.90203,                0.61977,                 1.0892,                0.51107,                0.80917,             5.1269e-05,             5.1269e-05,             5.1269e-05
                     37,                0.66585,                0.33237,                0.76987,                0.97988,                 0.8385,                0.90656,                0.62736,                 1.0803,                0.51488,                0.80886,             4.7962e-05,             4.7962e-05,             4.7962e-05
                     38,                0.66718,                0.33108,                0.76838,                0.95176,                0.84675,                0.90695,                0.62496,                 1.0883,                0.51502,                0.80854,             4.4656e-05,             4.4656e-05,             4.4656e-05
                     39,                0.65093,                0.32551,                0.76853,                0.95672,                0.84965,                0.89986,                0.61737,                 1.0902,                 0.5105,                0.80879,             4.1349e-05,             4.1349e-05,             4.1349e-05
                     40,                0.64427,                0.32186,                0.76774,                0.96025,                0.85866,                0.90749,                0.62918,                   1.09,                0.50694,                0.80875,             3.8043e-05,             3.8043e-05,             3.8043e-05
                     41,                0.58752,                0.30352,                0.76831,                0.97258,                0.85132,                0.90572,                0.62912,                 1.0843,                0.52072,                0.80867,             3.4736e-05,             3.4736e-05,             3.4736e-05
                     42,                0.57025,                0.29754,                0.76799,                 0.9814,                0.83033,                0.90458,                0.63418,                 1.0863,                0.51465,                 0.8082,             3.1429e-05,             3.1429e-05,             3.1429e-05
                     43,                0.54961,                0.29077,                0.76664,                0.97193,                0.84443,                0.90528,                0.63071,                 1.0872,                0.51873,                0.80847,             2.8123e-05,             2.8123e-05,             2.8123e-05
                     44,                0.53542,                  0.285,                0.76508,                 0.9656,                 0.8544,                0.90697,                 0.6343,                 1.0945,                0.52435,                0.80882,             2.4816e-05,             2.4816e-05,             2.4816e-05
                     45,                0.52753,                0.28117,                0.76695,                 0.9819,                0.82915,                0.90651,                0.63612,                 1.0871,                0.52577,                0.80846,              2.151e-05,              2.151e-05,              2.151e-05
                     46,                0.52191,                0.27772,                 0.7647,                0.95587,                0.85892,                0.90786,                0.63239,                 1.0928,                0.52453,                0.80887,             1.8203e-05,             1.8203e-05,             1.8203e-05
                     47,                0.51062,                0.27421,                0.76417,                0.93943,                0.85936,                0.90603,                0.62768,                  1.088,                0.52411,                0.80836,             1.4896e-05,             1.4896e-05,             1.4896e-05
                     48,                0.49984,                0.26992,                0.76404,                0.94288,                0.85537,                 0.9036,                0.62734,                  1.094,                0.52905,                0.80862,              1.159e-05,              1.159e-05,              1.159e-05
                     49,                0.50124,                0.26904,                 0.7656,                0.93769,                0.85625,                0.90924,                0.63548,                 1.0955,                0.53204,                 0.8084,             8.2832e-06,             8.2832e-06,             8.2832e-06
                     50,                0.49218,                0.26695,                 0.7653,                0.95892,                0.85054,                0.90621,                0.63095,                 1.0988,                 0.5303,                0.80871,             4.9766e-06,             4.9766e-06,             4.9766e-06
