                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.74434,                  0.398,                0.79034,                0.89183,                0.86779,                0.88739,                0.66301,                0.77091,                0.42816,                0.79241,             5.4576e-05,             5.4576e-05,             5.4576e-05
                     36,                0.72196,                0.38337,                 0.7878,                0.86844,                0.84488,                 0.8701,                0.66426,                0.77108,                0.42436,                0.79236,             5.1269e-05,             5.1269e-05,             5.1269e-05
                     37,                 0.7259,                0.37687,                0.79098,                0.87421,                0.85966,                0.88062,                0.65213,                 0.7743,                0.41865,                0.79234,             4.7962e-05,             4.7962e-05,             4.7962e-05
                     38,                0.72083,                0.37965,                0.78763,                0.88505,                0.86394,                 0.8895,                0.66741,                0.77505,                0.42251,                0.79153,             4.4656e-05,             4.4656e-05,             4.4656e-05
                     39,                0.72309,                0.37772,                0.79203,                0.90102,                0.87326,                0.90356,                0.67335,                0.78312,                0.41844,                0.79235,             4.1349e-05,             4.1349e-05,             4.1349e-05
                     40,                0.71195,                0.37205,                 0.7883,                0.92232,                0.87151,                0.89813,                0.64755,                0.77127,                0.42905,                0.79141,             3.8043e-05,             3.8043e-05,             3.8043e-05
                     41,                 0.7048,                0.36065,                0.79066,                0.90991,                0.86849,                0.89782,                0.67063,                0.77008,                0.41918,                0.79175,             3.4736e-05,             3.4736e-05,             3.4736e-05
                     42,                0.69241,                 0.3502,                0.79255,                0.90117,                 0.8917,                 0.9193,                0.67342,                0.77303,                0.41461,                0.79165,             3.1429e-05,             3.1429e-05,             3.1429e-05
                     43,                0.68054,                0.34494,                0.78974,                0.91446,                0.90211,                0.92844,                0.68685,                0.76303,                0.41365,                0.79174,             2.8123e-05,             2.8123e-05,             2.8123e-05
                     44,                0.68075,                0.34665,                 0.7884,                0.91037,                0.87284,                0.91275,                0.67703,                0.77384,                 0.4193,                0.79148,             2.4816e-05,             2.4816e-05,             2.4816e-05
                     45,                0.67368,                 0.3402,                0.79031,                0.90008,                0.87665,                0.90895,                0.68644,                0.76576,                  0.414,                0.79157,              2.151e-05,              2.151e-05,              2.151e-05
                     46,                0.66765,                0.33899,                0.78916,                0.92506,                0.88875,                 0.9208,                0.68281,                0.76882,                0.42033,                0.79157,             1.8203e-05,             1.8203e-05,             1.8203e-05
                     47,                0.66599,                0.33756,                0.78857,                0.91546,                0.88377,                0.91963,                0.68715,                0.77218,                0.41425,                0.79152,             1.4896e-05,             1.4896e-05,             1.4896e-05
                     48,                0.66336,                0.33517,                 0.7878,                0.92216,                0.88513,                0.92261,                0.68531,                0.76587,                0.41421,                  0.791,              1.159e-05,              1.159e-05,              1.159e-05
                     49,                0.65864,                0.33224,                0.78993,                0.92474,                 0.8829,                0.92142,                0.68668,                0.76656,                0.41806,                0.79115,             8.2832e-06,             8.2832e-06,             8.2832e-06
                     50,                0.65716,                0.33151,                0.78509,                0.92265,                0.88314,                 0.9217,                 0.6863,                0.76636,                0.41767,                 0.7908,             4.9766e-06,             4.9766e-06,             4.9766e-06
