                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5795,                 19.989,                 1.1943,                0.53457,                0.29473,                0.34122,                0.24212,                 1.0922,                 7.9164,                 1.0059,             5.5478e-05,             5.5478e-05,             5.5478e-05
                      2,                0.96293,                 6.7354,                 1.0093,                0.69936,                 0.4011,                0.44626,                0.32664,                0.95943,                 5.2539,                0.98678,             0.00010014,             0.00010014,             0.00010014
                      3,                0.87801,                 4.9617,                 0.9962,                0.66639,                0.47559,                0.51121,                0.36753,                0.91515,                 4.3925,                0.98019,             0.00013378,             0.00013378,             0.00013378
                      4,                0.83606,                 4.1698,                0.99279,                0.67797,                0.49385,                0.52795,                0.39334,                0.84077,                 3.8687,                0.97112,              0.0001174,              0.0001174,              0.0001174
                      5,                0.80084,                 3.6762,                0.98335,                0.72405,                0.50102,                0.53695,                0.39602,                0.82891,                 3.5993,                 0.9707,             0.00010087,             0.00010087,             0.00010087
                      6,                0.77521,                 3.3647,                0.97832,                0.67493,                0.54499,                0.55767,                0.41429,                0.79422,                 3.3554,                 0.9676,             8.4335e-05,             8.4335e-05,             8.4335e-05
                      7,                0.76106,                 3.1947,                0.97557,                0.70868,                0.56788,                0.58568,                0.43021,                0.77462,                 3.2082,                0.96552,             6.7802e-05,             6.7802e-05,             6.7802e-05
                      8,                0.74179,                 3.0507,                 0.9742,                0.70927,                0.57927,                0.59413,                 0.4385,                0.75882,                 3.1102,                0.96369,             5.1269e-05,             5.1269e-05,             5.1269e-05
                      9,                0.72981,                 2.9104,                0.97263,                 0.6713,                  0.575,                0.59285,                0.43961,                 0.7566,                 3.0483,                0.96288,             3.4736e-05,             3.4736e-05,             3.4736e-05
                     10,                0.72486,                 2.8538,                0.97149,                0.71469,                0.57794,                0.59283,                0.44253,                0.74504,                 2.9785,                0.96126,             1.8203e-05,             1.8203e-05,             1.8203e-05
